시간,김영훈,김역겹,우웩,역겹이
0:10,0,1,2,2
0:20,2,0,2,1
0:30,2,0,2,1
0:40,2,0,2,1
0:50,2,0,2,1
1:00,2,0,2,1
1:10,2,0,2,1
1:20,2,0,2,1
1:30,2,0,2,1
1:40,2,0,2,1
1:50,2,0,2,1
2:00,2,0,2,1
2:10,2,0,2,1
2:20,2,0,2,1
2:30,2,0,2,1
2:40,2,0,2,1
2:50,2,0,2,1
3:00,2,0,2,1
3:10,2,0,2,1
3:20,2,0,2,1
3:30,2,0,2,1
3:40,2,0,2,1
3:50,2,0,2,1
4:00,2,0,2,1
4:10,2,0,2,1
4:20,2,0,2,1
4:30,2,0,2,1
4:40,2,0,2,1
4:50,2,0,2,1
5:00,2,0,2,1
5:10,2,0,2,1
5:20,2,0,2,1
5:30,2,0,2,1
5:40,2,0,2,1
5:50,2,0,2,1
6:00,2,0,2,1
6:10,2,0,2,1
6:20,2,0,2,1
6:30,2,0,2,1
6:40,2,0,2,1
6:50,2,0,2,1
7:00,2,0,2,1
7:10,2,0,2,1
7:20,2,0,2,1
7:30,2,0,2,1
7:40,2,0,2,1
7:50,2,0,2,1
8:00,2,0,2,1
8:10,2,0,2,1
8:20,2,0,2,1
8:30,2,0,2,1
8:40,2,0,2,1
8:50,2,0,2,1
9:00,2,0,2,1
9:10,2,0,2,1
9:20,2,0,2,1
9:30,2,0,2,1
9:40,2,0,2,1
9:50,2,0,2,1
10:00,2,0,2,1
10:10,2,0,2,1
10:20,2,0,2,1
10:30,2,0,2,1
10:40,2,0,2,1
10:50,2,0,2,1
11:00,2,0,2,1
11:10,2,0,2,1
11:20,2,0,2,1
11:30,2,0,2,1
11:40,2,0,2,1
11:50,2,0,2,1
12:00,2,0,2,1
12:10,2,0,2,1
12:20,2,0,2,1
12:30,2,0,2,1
12:40,2,0,2,1
12:50,2,0,2,1
13:00,2,0,2,1
13:10,2,0,2,1
13:20,2,0,2,1
13:30,2,0,2,1
13:40,2,0,2,1
13:50,2,0,2,1
14:00,2,0,2,1
14:10,2,0,2,1
14:20,2,0,2,1
14:30,2,0,2,1
14:40,2,0,2,1
14:50,2,0,2,1
15:00,2,0,2,1
15:10,2,0,2,1
15:20,2,0,2,1
15:30,2,0,2,1
15:40,2,0,2,1
15:50,2,0,2,1
16:00,2,0,2,1
16:10,2,0,2,1
16:20,2,0,2,1
16:30,2,0,2,1
16:40,2,0,2,1
16:50,2,0,2,1
17:00,2,0,2,1
17:10,2,0,2,1
17:20,2,0,2,1
17:30,2,0,2,1
17:40,2,0,2,1
17:50,2,0,2,1
18:00,2,0,2,1
18:10,2,0,2,1
18:20,2,0,2,1
18:30,2,0,2,1
18:40,2,0,2,1
18:50,2,0,2,1
19:00,2,0,2,1
19:10,2,0,2,1
19:20,2,0,2,1
19:30,2,0,2,1
19:40,2,0,2,1
19:50,2,0,2,1
20:00,2,0,2,1
20:10,2,0,2,1
20:20,2,0,2,1
20:30,2,0,2,1
20:40,2,0,2,1
20:50,2,0,2,1
21:00,2,0,2,1
21:10,2,0,2,1
21:20,2,0,2,1
21:30,2,0,2,1
21:40,2,0,2,1
21:50,2,0,2,1
22:00,2,0,2,1
22:10,2,0,2,1
22:20,2,0,2,1
22:30,2,0,2,1
22:40,2,0,2,1
22:50,2,0,2,1
23:00,2,0,2,1
23:10,2,0,2,1
23:20,2,0,2,1
23:30,2,0,2,1
23:40,2,0,2,1
23:50,2,0,2,1
0:00,2,0,2,1
